,Mun,Ncasos_lead,Ncasos_lagroll_15,Ncasos_lagroll_30,nHab,caudal,lluvia,sars_loess,sars_loess_15,sars_loess_30,Month
0,BARCELONA,2.3234679316370204,1.8655223945020454,1.6413904814497569,1664182,317575.0,0.3,-0.6007856144164482,-0.5202444087701409,-0.610418475426635,6.0
1,BARCELONA,2.2711828959291216,2.1452351264325458,1.9078205402752921,1664182,324759.0,0.0,-0.353821207717263,-0.31870614295496186,-0.36951821883954983,6.0
2,BARCELONA,2.1806707843576887,2.2691551796535867,2.0879315408069843,1664182,312062.0,0.0,-0.20486222296951395,-0.18973713493468145,-0.21820542324599015,6.0
3,BARCELONA,2.2062991094193976,2.25589800939335,2.1786871086573276,1664182,331372.0,9.6,-0.1057336538605351,-0.10167600303487563,-0.10616897857038812,7.0
4,BARCELONA,2.2367664204167084,2.1907958969680754,2.2052705463920272,1664182,281022.0,0.0,-0.03650060084234674,-0.024458315913959885,-0.024793403235393082,7.0
5,BARCELONA,2.280398754705624,2.15884735905864,2.1844777463078144,1664182,281533.0,0.0,0.03996561220189537,0.03653364306937435,0.005710468355411132,7.0
6,BARCELONA,2.2285866321863934,2.1850571544422204,2.163415601084756,1664182,294440.0,0.0,0.08096032163495662,0.021239201973931438,-0.012208017116293317,7.0
7,BARCELONA,2.161941113266733,2.219749101270206,2.1656812990870415,1664182,474624.0,7.2,0.009508541567883,-0.07642065727936777,-0.08509816816150434,7.0
8,BARCELONA,2.2971835752719127,2.216125175550759,2.175791624117349,1664182,474539.0,7.2,-0.10782346858578308,-0.20833700845443678,-0.21795173115901953,8.0
9,BARCELONA,2.2427519942162504,2.1613641948276134,2.166809745084222,1664182,362072.0,0.0,-0.24137931449628328,-0.3569652917170144,-0.3611679635143704,8.0
10,BARCELONA,2.3201447103454353,2.1964643096341314,2.1811044868290552,1664182,491723.0,25.9,-0.38881936541595086,-0.4691170276990359,-0.48103430488954374,8.0
