Municipios;Periodo;Total
43057 Febró, La;2020;40
43058 Figuera, La;2022;123
43058 Figuera, La;2021;117
43058 Figuera, La;2020;114
43059 Figuerola del Camp;2022;332
43059 Figuerola del Camp;2021;336
43059 Figuerola del Camp;2020;329
43060 Flix;2022;3426
43060 Flix;2021;3451
43060 Flix;2020;3410
43061 Forès;2022;48
43061 Forès;2021;48
43061 Forès;2020;43
43062 Freginals;2022;388
43062 Freginals;2021;391
43062 Freginals;2020;385
43063 Galera, La;2022;700
43063 Galera, La;2021;723
43063 Galera, La;2020;736
43064 Gandesa;2022;3100
43064 Gandesa;2021;3098
43064 Gandesa;2020;3096
43065 Garcia;2022;527
43065 Garcia;2021;535
43065 Garcia;2020;527
43066 Garidells, Els;2022;196
43066 Garidells, Els;2021;198
43066 Garidells, Els;2020;190
43067 Ginestar;2022;790
43067 Ginestar;2021;787
43067 Ginestar;2020;764
43068 Godall;2022;609
43068 Godall;2021;614
43068 Godall;2020;598
43069 Gratallops;2022;236
43069 Gratallops;2021;237
43069 Gratallops;2020;237
43070 Guiamets, Els;2022;279
43070 Guiamets, Els;2021;276
43070 Guiamets, Els;2020;278
43071 Horta de Sant Joan;2022;1154
43071 Horta de Sant Joan;2021;1138
43071 Horta de Sant Joan;2020;1146
43072 Lloar, El;2022;104
43072 Lloar, El;2021;111
43072 Lloar, El;2020;105
43073 Llorac;2022;96
43073 Llorac;2021;92
43073 Llorac;2020;91
43074 Llorenç del Penedès;2022;2393
43074 Llorenç del Penedès;2021;2381
43074 Llorenç del Penedès;2020;2395
43076 Marçà;2022;593
43076 Marçà;2021;612
43076 Marçà;2020;600
43075 Margalef;2022;107
43075 Margalef;2021;104
43075 Margalef;2020;106
43077 Mas de Barberans;2022;556
43077 Mas de Barberans;2021;572
43077 Mas de Barberans;2020;564
43078 Masdenverge;2022;1129
43078 Masdenverge;2021;1109
43078 Masdenverge;2020;1071
43079 Masllorenç;2022;547
43079 Masllorenç;2021;508
43079 Masllorenç;2020;505
43080 Masó, La;2022;285
43080 Masó, La;2021;283
43080 Masó, La;2020;280
43081 Maspujols;2022;859
43081 Maspujols;2021;826
43081 Maspujols;2020;823
43082 Masroig, El;2022;479
43082 Masroig, El;2021;499
43082 Masroig, El;2020;492
43083 Milà, El;2022;189
43083 Milà, El;2021;191
43083 Milà, El;2020;190
43084 Miravet;2022;682
43084 Miravet;2021;685
43084 Miravet;2020;706
43085 Molar, El;2022;296
43085 Molar, El;2021;298
43085 Molar, El;2020;291
43086 Montblanc;2022;7410
43086 Montblanc;2021;7433
43086 Montblanc;2020;7379
43088 Montbrió del Camp;2022;3073
43088 Montbrió del Camp;2021;2985
43088 Montbrió del Camp;2020;2909
43089 Montferri;2022;419
43089 Montferri;2021;397
43089 Montferri;2020;403
43090 Montmell, El;2022;1863
43090 Montmell, El;2021;1730
43090 Montmell, El;2020;1582
43091 Mont-ral;2022;173
43091 Mont-ral;2021;169
43091 Mont-ral;2020;168
43092 Mont-roig del Camp;2022;13101
43092 Mont-roig del Camp;2021;12689
43092 Mont-roig del Camp;2020;12460
43093 Móra d'Ebre;2022;5585
43093 Móra d'Ebre;2021;5585
43093 Móra d'Ebre;2020;5695
43094 Móra la Nova;2022;3198
43094 Móra la Nova;2021;3120
43094 Móra la Nova;2020;3108
43095 Morell, El;2022;3803
43095 Morell, El;2021;3732
43095 Morell, El;2020;3742
43096 Morera de Montsant, La;2022;160
43096 Morera de Montsant, La;2021;163
43096 Morera de Montsant, La;2020;159
43097 Nou de Gaià, La;2022;636
43097 Nou de Gaià, La;2021;616
43097 Nou de Gaià, La;2020;600
43098 Nulles;2022;541
43098 Nulles;2021;516
43098 Nulles;2020;509
43100 Pallaresos, Els;2022;4930
43100 Pallaresos, Els;2021;4872
43100 Pallaresos, Els;2020;4850
43099 Palma d'Ebre, La;2022;341
43099 Palma d'Ebre, La;2021;334
43099 Palma d'Ebre, La;2020;338
43101 Passanant i Belltall;2022;170
43101 Passanant i Belltall;2021;167
43101 Passanant i Belltall;2020;155
43102 Paüls;2022;566
43102 Paüls;2021;563
43102 Paüls;2020;545
43103 Perafort;2022;1292
43103 Perafort;2021;1275
43103 Perafort;2020;1264
43104 Perelló, El;2022;2885
43104 Perelló, El;2021;2846
43104 Perelló, El;2020;2826
43105 Piles, Les;2022;224
43105 Piles, Les;2021;218
43105 Piles, Les;2020;210
43106 Pinell de Brai, El;2022;1000
43106 Pinell de Brai, El;2021;998
43106 Pinell de Brai, El;2020;1008
43107 Pira;2022;489
43107 Pira;2021;498
43107 Pira;2020;503
43108 Pla de Santa Maria, El;2022;2340
43108 Pla de Santa Maria, El;2021;2340
43108 Pla de Santa Maria, El;2020;2348
43109 Pobla de Mafumet, La;2022;4052
43109 Pobla de Mafumet, La;2021;4025
43109 Pobla de Mafumet, La;2020;3971
43110 Pobla de Massaluca, La;2022;340
43110 Pobla de Massaluca, La;2021;341
43110 Pobla de Massaluca, La;2020;317
43111 Pobla de Montornès, La;2022;3101
43111 Pobla de Montornès, La;2021;2999
43111 Pobla de Montornès, La;2020;2884
43112 Poboleda;2022;327
43112 Poboleda;2021;328
43112 Poboleda;2020;321
43113 Pont d'Armentera, El;2022;492
43113 Pont d'Armentera, El;2021;493
43113 Pont d'Armentera, El;2020;488
43141 Pontils;2022;133
43141 Pontils;2021;138
43141 Pontils;2020;122
43114 Porrera;2022;429
43114 Porrera;2021;428
43114 Porrera;2020;424
43115 Pradell de la Teixeta;2022;172
43115 Pradell de la Teixeta;2021;164
43115 Pradell de la Teixeta;2020;158
43116 Prades;2022;625
43116 Prades;2021;602
43116 Prades;2020;588
43117 Prat de Comte;2022;186
43117 Prat de Comte;2021;186
43117 Prat de Comte;2020;177
43118 Pratdip;2022;693
43118 Pratdip;2021;680
43118 Pratdip;2020;726
43119 Puigpelat;2022;1199
43119 Puigpelat;2021;1196
43119 Puigpelat;2020;1163
43120 Querol;2022;572
43120 Querol;2021;544
43120 Querol;2020;518
43121 Rasquera;2022;822
43121 Rasquera;2021;846
43121 Rasquera;2020;783
43122 Renau;2022;152
43122 Renau;2021;155
43122 Renau;2020;162
43123 Reus;2022;106741
43123 Reus;2021;106084
43123 Reus;2020;106168
43124 Riba, La;2022;552
43124 Riba, La;2021;575
43124 Riba, La;2020;585
43125 Riba-roja d'Ebre;2022;1131
43125 Riba-roja d'Ebre;2021;1117
43125 Riba-roja d'Ebre;2020;1110
43126 Riera de Gaià, La;2022;1752
43126 Riera de Gaià, La;2021;1737
43126 Riera de Gaià, La;2020;1742
43127 Riudecanyes;2022;1279
43127 Riudecanyes;2021;1194
43127 Riudecanyes;2020;1146
43128 Riudecols;2022;1198
43128 Riudecols;2021;1225
43128 Riudecols;2020;1189
43129 Riudoms;2022;6721
43129 Riudoms;2021;6617
43129 Riudoms;2020;6569
43130 Rocafort de Queralt;2022;241
43130 Rocafort de Queralt;2021;230
43130 Rocafort de Queralt;2020;211
43131 Roda de Berà;2022;7591
43131 Roda de Berà;2021;7127
43131 Roda de Berà;2020;6785
43132 Rodonyà;2022;506
43132 Rodonyà;2021;507
43132 Rodonyà;2020;494
43133 Roquetes;2022;8193
43133 Roquetes;2021;8159
43133 Roquetes;2020;8079
43134 Rourell, El;2022;395
43134 Rourell, El;2021;402
43134 Rourell, El;2020;372
43135 Salomó;2022;543
43135 Salomó;2021;544
43135 Salomó;2020;549
43905 Salou;2022;29028
43905 Salou;2021;28512
43905 Salou;2020;28526
43136 Sant Carles de la Ràpita;2022;14767
43136 Sant Carles de la Ràpita;2021;14931
43136 Sant Carles de la Ràpita;2020;14953
43137 Sant Jaume dels Domenys;2022;2695
43137 Sant Jaume dels Domenys;2021;2666
43137 Sant Jaume dels Domenys;2020;2624
43902 Sant Jaume d'Enveja;2022;3669
43902 Sant Jaume d'Enveja;2021;3552
43902 Sant Jaume d'Enveja;2020;3527
43138 Santa Bàrbara;2022;3791
43138 Santa Bàrbara;2021;3762
43138 Santa Bàrbara;2020;3715
43139 Santa Coloma de Queralt;2022;2755
43139 Santa Coloma de Queralt;2021;2702
43139 Santa Coloma de Queralt;2020;2672
43140 Santa Oliva;2022;3560
43140 Santa Oliva;2021;3450
43140 Santa Oliva;2020;3353
43142 Sarral;2022;1578
43142 Sarral;2021;1549
43142 Sarral;2020;1538
43143 Savallà del Comtat;2022;52
43143 Savallà del Comtat;2021;53
43143 Savallà del Comtat;2020;53
43144 Secuita, La;2022;1765
43144 Secuita, La;2021;1728
43144 Secuita, La;2020;1708
43145 Selva del Camp, La;2022;5696
43145 Selva del Camp, La;2021;5694
43145 Selva del Camp, La;2020;5683
43146 Senan;2022;44
43146 Senan;2021;42
43146 Senan;2020;44
43044 Sénia, La;2022;5475
43044 Sénia, La;2021;5530
43044 Sénia, La;2020;5640
43147 Solivella;2022;628
43147 Solivella;2021;640
43147 Solivella;2020;632
43148 Tarragona;2022;134883
43148 Tarragona;2021;135436
43148 Tarragona;2020;136496
43149 Tivenys;2022;923
43149 Tivenys;2021;900
43149 Tivenys;2020;902
43150 Tivissa;2022;1643
43150 Tivissa;2021;1639
43150 Tivissa;2020;1619
43151 Torre de Fontaubella, La;2022;125
43151 Torre de Fontaubella, La;2021;128
43151 Torre de Fontaubella, La;2020;131
43152 Torre de l'Espanyol, La;2022;598
43152 Torre de l'Espanyol, La;2021;598
43152 Torre de l'Espanyol, La;2020;601
43153 Torredembarra;2022;17256
43153 Torredembarra;2021;17057
43153 Torredembarra;2020;16567
43154 Torroja del Priorat;2022;141
43154 Torroja del Priorat;2021;141
43154 Torroja del Priorat;2020;152
43155 Tortosa;2022;33890
43155 Tortosa;2021;33572
43155 Tortosa;2020;33439
43156 Ulldecona;2022;6241
43156 Ulldecona;2021;6317
43156 Ulldecona;2020;6525
43157 Ulldemolins;2022;409
43157 Ulldemolins;2021;400
43157 Ulldemolins;2020;398
43158 Vallclara;2022;88
43158 Vallclara;2021;91
43158 Vallclara;2020;88
43159 Vallfogona de Riucorb;2022;89
43159 Vallfogona de Riucorb;2021;77
43159 Vallfogona de Riucorb;2020;77
43160 Vallmoll;2022;1882
43160 Vallmoll;2021;1793
43160 Vallmoll;2020;1774
43161 Valls;2022;24727
43161 Valls;2021;24553
43161 Valls;2020;24477
43162 Vandellòs i l'Hospitalet de l'Infant;2022;6750
43162 Vandellòs i l'Hospitalet de l'Infant;2021;6645
43162 Vandellòs i l'Hospitalet de l'Infant;2020;6603
43163 Vendrell, El;2022;39072
43163 Vendrell, El;2021;38891
43163 Vendrell, El;2020;38373
43164 Vespella de Gaià;2022;496
43164 Vespella de Gaià;2021;458
43164 Vespella de Gaià;2020;417
43165 Vilabella;2022;711
43165 Vilabella;2021;705
43165 Vilabella;2020;729
43175 Vilalba dels Arcs;2022;634
43175 Vilalba dels Arcs;2021;630
43175 Vilalba dels Arcs;2020;621
43166 Vilallonga del Camp;2022;2398
43166 Vilallonga del Camp;2021;2385
43166 Vilallonga del Camp;2020;2405
43168 Vilanova de Prades;2022;107
43168 Vilanova de Prades;2021;108
43168 Vilanova de Prades;2020;107
43167 Vilanova d'Escornalbou;2022;594
43167 Vilanova d'Escornalbou;2021;582
43167 Vilanova d'Escornalbou;2020;565
43169 Vilaplana;2022;540
43169 Vilaplana;2021;536
43169 Vilaplana;2020;555
43170 Vila-rodona;2022;1341
43170 Vila-rodona;2021;1299
43170 Vila-rodona;2020;1276
43171 Vila-seca;2022;22681
43171 Vila-seca;2021;22522
43171 Vila-seca;2020;22555
43172 Vilaverd;2022;453
43172 Vilaverd;2021;445
43172 Vilaverd;2020;443
43173 Vilella Alta, La;2022;136
43173 Vilella Alta, La;2021;131
43173 Vilella Alta, La;2020;133
43174 Vilella Baixa, La;2022;202
43174 Vilella Baixa, La;2021;208
43174 Vilella Baixa, La;2020;204
43176 Vimbodí i Poblet;2022;884
43176 Vimbodí i Poblet;2021;880
43176 Vimbodí i Poblet;2020;890
43177 Vinebre;2022;407
43177 Vinebre;2021;427
43177 Vinebre;2020;425
43178 Vinyols i els Arcs;2022;2258
43178 Vinyols i els Arcs;2021;2193
43178 Vinyols i els Arcs;2020;2124
43052 Xerta;2022;1150
43052 Xerta;2021;1159
43052 Xerta;2020;1154
