Municipios;Periodo;Total
25068 Castellnou de Seana;2022;715
25068 Castellnou de Seana;2021;692
25068 Castellnou de Seana;2020;665
25069 Castelló de Farfanya;2022;508
25069 Castelló de Farfanya;2021;529
25069 Castelló de Farfanya;2020;539
25070 Castellserà;2022;961
25070 Castellserà;2021;976
25070 Castellserà;2020;996
25071 Cava;2022;51
25071 Cava;2021;46
25071 Cava;2020;45
25072 Cervera;2022;9393
25072 Cervera;2021;9328
25072 Cervera;2020;9350
25073 Cervià de les Garrigues;2022;642
25073 Cervià de les Garrigues;2021;665
25073 Cervià de les Garrigues;2020;662
25074 Ciutadilla;2022;190
25074 Ciutadilla;2021;202
25074 Ciutadilla;2020;208
25075 Clariana de Cardener;2022;162
25075 Clariana de Cardener;2021;158
25075 Clariana de Cardener;2020;161
25076 Cogul, El;2022;151
25076 Cogul, El;2021;143
25076 Cogul, El;2020;151
25077 Coll de Nargó;2022;548
25077 Coll de Nargó;2021;548
25077 Coll de Nargó;2020;540
25163 Coma i la Pedra, La;2022;278
25163 Coma i la Pedra, La;2021;277
25163 Coma i la Pedra, La;2020;255
25161 Conca de Dalt;2022;427
25161 Conca de Dalt;2021;421
25161 Conca de Dalt;2020;410
25078 Corbins;2022;1462
25078 Corbins;2021;1499
25078 Corbins;2020;1462
25079 Cubells;2022;356
25079 Cubells;2021;357
25079 Cubells;2020;338
25081 Espluga Calba, L';2022;331
25081 Espluga Calba, L';2021;328
25081 Espluga Calba, L';2020;329
25082 Espot;2022;377
25082 Espot;2021;366
25082 Espot;2020;366
25088 Estamariu;2022;128
25088 Estamariu;2021;129
25088 Estamariu;2020;125
25085 Estaràs;2022;169
25085 Estaràs;2021;172
25085 Estaràs;2020;156
25086 Esterri d'Àneu;2022;841
25086 Esterri d'Àneu;2021;832
25086 Esterri d'Àneu;2020;804
25087 Esterri de Cardós;2022;62
25087 Esterri de Cardós;2021;64
25087 Esterri de Cardós;2020;64
25089 Farrera;2022;121
25089 Farrera;2021;116
25089 Farrera;2020;108
25908 Fígols i Alinyà;2022;266
25908 Fígols i Alinyà;2021;260
25908 Fígols i Alinyà;2020;244
25092 Floresta, La;2022;154
