Municipios;Periodo;Total
08259 Santa Maria de Palautordera;2021;9666
08259 Santa Maria de Palautordera;2020;9630
08258 Santa Maria d'Oló;2022;1063
08258 Santa Maria d'Oló;2021;1065
08258 Santa Maria d'Oló;2020;1024
08260 Santa Perpètua de Mogoda;2022;25930
08260 Santa Perpètua de Mogoda;2021;26033
08260 Santa Perpètua de Mogoda;2020;25999
08261 Santa Susanna;2022;3755
08261 Santa Susanna;2021;3650
08261 Santa Susanna;2020;3548
08192 Santpedor;2022;7612
08192 Santpedor;2021;7566
08192 Santpedor;2020;7604
08267 Sentmenat;2022;9417
08267 Sentmenat;2021;9347
08267 Sentmenat;2020;9235
08269 Seva;2022;3736
08269 Seva;2021;3696
08269 Seva;2020;3544
08270 Sitges;2022;31222
08270 Sitges;2021;30217
08270 Sitges;2020;29553
08271 Sobremunt;2022;83
08271 Sobremunt;2021;78
08271 Sobremunt;2020;78
08272 Sora;2022;219
08272 Sora;2021;211
08272 Sora;2020;212
08273 Subirats;2022;3241
08273 Subirats;2021;3149
08273 Subirats;2020;3104
08274 Súria;2022;5921
08274 Súria;2021;5923
08274 Súria;2020;5948
08276 Tagamanent;2022;340
08276 Tagamanent;2021;325
08276 Tagamanent;2020;318
08277 Talamanca;2022;219
08277 Talamanca;2021;222
08277 Talamanca;2020;209
08278 Taradell;2022;6699
08278 Taradell;2021;6687
08278 Taradell;2020;6640
08275 Tavèrnoles;2022;329
08275 Tavèrnoles;2021;329
08275 Tavèrnoles;2020;322
08280 Tavertet;2022;116
08280 Tavertet;2021;113
08280 Tavertet;2020;105
08281 Teià;2022;6635
08281 Teià;2021;6532
08281 Teià;2020;6427
08279 Terrassa;2022;224114
08279 Terrassa;2021;223011
08279 Terrassa;2020;223627
08282 Tiana;2022;9110
08282 Tiana;2021;9009
08282 Tiana;2020;8945
08283 Tona;2022;8368
08283 Tona;2021;8368
08283 Tona;2020;8356
08284 Tordera;2022;18022
08284 Tordera;2021;17788
08284 Tordera;2020;17519
08285 Torelló;2022;14726
08285 Torelló;2021;14553
08285 Torelló;2020;14400
08286 Torre de Claramunt, La;2022;3966
08286 Torre de Claramunt, La;2021;3852
08286 Torre de Claramunt, La;2020;3741
08287 Torrelavit;2022;1457
08287 Torrelavit;2021;1429
08287 Torrelavit;2020;1422
08288 Torrelles de Foix;2022;2557
08288 Torrelles de Foix;2021;2479
08288 Torrelles de Foix;2020;2398
08289 Torrelles de Llobregat;2022;6186
08289 Torrelles de Llobregat;2021;6126
08289 Torrelles de Llobregat;2020;6073
08290 Ullastrell;2022;2139
08290 Ullastrell;2021;2096
08290 Ullastrell;2020;2089
08291 Vacarisses;2022;7325
08291 Vacarisses;2021;7082
08291 Vacarisses;2020;6832
08292 Vallbona d'Anoia;2022;1387
08292 Vallbona d'Anoia;2021;1375
08292 Vallbona d'Anoia;2020;1357
08293 Vallcebre;2022;268
08293 Vallcebre;2021;258
08293 Vallcebre;2020;249
08294 Vallgorguina;2022;3144
08294 Vallgorguina;2021;3052
08294 Vallgorguina;2020;2988
08295 Vallirana;2022;15658
08295 Vallirana;2021;15438
08295 Vallirana;2020;15312
08296 Vallromanes;2022;2632
08296 Vallromanes;2021;2594
08296 Vallromanes;2020;2558
08297 Veciana;2022;182
08297 Veciana;2021;179
08297 Veciana;2020;175
08298 Vic;2022;47545
08298 Vic;2021;47319
08298 Vic;2020;47630
08299 Vilada;2022;439
08299 Vilada;2021;424
08299 Vilada;2020;419
08301 Viladecans;2022;66720
08301 Viladecans;2021;66707
08301 Viladecans;2020;67197
08300 Viladecavalls;2022;7644
08300 Viladecavalls;2021;7621
08300 Viladecavalls;2020;7545
08305 Vilafranca del Penedès;2022;40056
08305 Vilafranca del Penedès;2021;39969
08305 Vilafranca del Penedès;2020;40154
08306 Vilalba Sasserra;2022;748
08306 Vilalba Sasserra;2021;758
08306 Vilalba Sasserra;2020;753
08303 Vilanova de Sau;2022;320
08303 Vilanova de Sau;2021;314
08303 Vilanova de Sau;2020;312
08302 Vilanova del Camí;2022;12699
08302 Vilanova del Camí;2021;12736
08302 Vilanova del Camí;2020;12596
08902 Vilanova del Vallès;2022;5557
08902 Vilanova del Vallès;2021;5535
08902 Vilanova del Vallès;2020;5503
08307 Vilanova i la Geltrú;2022;68152
08307 Vilanova i la Geltrú;2021;67458
08307 Vilanova i la Geltrú;2020;67733
08214 Vilassar de Dalt;2022;9128
08214 Vilassar de Dalt;2021;9074
08214 Vilassar de Dalt;2020;9072
08219 Vilassar de Mar;2022;21067
08219 Vilassar de Mar;2021;20936
08219 Vilassar de Mar;2020;21035
08304 Vilobí del Penedès;2022;1130
08304 Vilobí del Penedès;2021;1128
08304 Vilobí del Penedès;2020;1102
08308 Viver i Serrateix;2022;166
08308 Viver i Serrateix;2021;175
08308 Viver i Serrateix;2020;172
