Municipios;Periodo;Total
08056 Castelldefels;2022;67307
08056 Castelldefels;2021;67226
08056 Castelldefels;2020;67460
08058 Castellet i la Gornal;2022;2474
08058 Castellet i la Gornal;2021;2452
08058 Castellet i la Gornal;2020;2382
08060 Castellfollit de Riubregós;2022;159
08060 Castellfollit de Riubregós;2021;163
08060 Castellfollit de Riubregós;2020;162
08059 Castellfollit del Boix;2022;460
08059 Castellfollit del Boix;2021;448
08059 Castellfollit del Boix;2020;447
08061 Castellgalí;2022;2236
08061 Castellgalí;2021;2179
08061 Castellgalí;2020;2119
08062 Castellnou de Bages;2022;1431
08062 Castellnou de Bages;2021;1420
08062 Castellnou de Bages;2020;1437
08063 Castellolí;2022;636
08063 Castellolí;2021;653
08063 Castellolí;2020;626
08064 Castellterçol;2022;2655
08064 Castellterçol;2021;2632
08064 Castellterçol;2020;2548
08065 Castellví de la Marca;2022;1614
08065 Castellví de la Marca;2021;1597
08065 Castellví de la Marca;2020;1575
08066 Castellví de Rosanes;2022;2096
08066 Castellví de Rosanes;2021;1996
08066 Castellví de Rosanes;2020;1933
08067 Centelles;2022;7641
08067 Centelles;2021;7595
08067 Centelles;2020;7513
08268 Cercs;2022;1169
08268 Cercs;2021;1190
08268 Cercs;2020;1150
08266 Cerdanyola del Vallès;2022;57291
08266 Cerdanyola del Vallès;2021;57217
08266 Cerdanyola del Vallès;2020;57855
08068 Cervelló;2022;9307
08068 Cervelló;2021;9233
08068 Cervelló;2020;9077
08069 Collbató;2022;4726
08069 Collbató;2021;4655
08069 Collbató;2020;4544
08070 Collsuspina;2022;398
08070 Collsuspina;2021;387
08070 Collsuspina;2020;359
08071 Copons;2022;333
08071 Copons;2021;322
08071 Copons;2020;321
08072 Corbera de Llobregat;2022;15210
08072 Corbera de Llobregat;2021;15017
08072 Corbera de Llobregat;2020;14882
08073 Cornellà de Llobregat;2022;89039
08073 Cornellà de Llobregat;2021;89300
08073 Cornellà de Llobregat;2020;89936
08074 Cubelles;2022;16386
08074 Cubelles;2021;16051
08074 Cubelles;2020;15770
08075 Dosrius;2022;5710
08075 Dosrius;2021;5685
08075 Dosrius;2020;5652
08076 Esparreguera;2022;22365
08076 Esparreguera;2021;22358
08076 Esparreguera;2020;22302
08077 Esplugues de Llobregat;2022;46414
08077 Esplugues de Llobregat;2021;46777
08077 Esplugues de Llobregat;2020;47150
08078 Espunyola, L';2022;265
08078 Espunyola, L';2021;258
08078 Espunyola, L';2020;242
08254 Esquirol, L';2022;2245
08254 Esquirol, L';2021;2198
08254 Esquirol, L';2020;2186
08079 Estany, L';2022;391
08079 Estany, L';2021;408
08079 Estany, L';2020;408
08134 Figaró-Montmany;2022;1108
08134 Figaró-Montmany;2021;1127
08134 Figaró-Montmany;2020;1142
08080 Fígols;2022;45
08080 Fígols;2021;46
08080 Fígols;2020;43
08082 Fogars de la Selva;2022;1564
08082 Fogars de la Selva;2021;1540
08082 Fogars de la Selva;2020;1469
08081 Fogars de Montclús;2022;493
08081 Fogars de Montclús;2021;467
08081 Fogars de Montclús;2020;475
08083 Folgueroles;2022;2254
08083 Folgueroles;2021;2269
08083 Folgueroles;2020;2265
08084 Fonollosa;2022;1546
08084 Fonollosa;2021;1495
08084 Fonollosa;2020;1459
08085 Font-rubí;2022;1446
08085 Font-rubí;2021;1440
08085 Font-rubí;2020;1414
08086 Franqueses del Vallès, Les;2022;20322
08086 Franqueses del Vallès, Les;2021;20351
08086 Franqueses del Vallès, Les;2020;20364
08090 Gaià;2022;179
08090 Gaià;2021;189
08090 Gaià;2020;183
08087 Gallifa;2022;186
08087 Gallifa;2021;183
08087 Gallifa;2020;167
08088 Garriga, La;2022;16788
08088 Garriga, La;2021;16733
08088 Garriga, La;2020;16668
08089 Gavà;2022;46974
08089 Gavà;2021;46931
08089 Gavà;2020;47057
08091 Gelida;2022;7814
08091 Gelida;2021;7723
08091 Gelida;2020;7670
08092 Gironella;2022;4940
08092 Gironella;2021;4916
08092 Gironella;2020;4946
08093 Gisclareny;2022;28
08093 Gisclareny;2021;27
08093 Gisclareny;2020;26
08094 Granada, La;2022;2207
08094 Granada, La;2021;2207
08094 Granada, La;2020;2208
08095 Granera;2022;80
08095 Granera;2021;85
08095 Granera;2020;77
08096 Granollers;2022;61983
08096 Granollers;2021;62475
08096 Granollers;2020;62419
08097 Gualba;2022;1610
08097 Gualba;2021;1585
08097 Gualba;2020;1548
08099 Guardiola de Berguedà;2022;918
08099 Guardiola de Berguedà;2021;929
08099 Guardiola de Berguedà;2020;941
08100 Gurb;2022;2702
08100 Gurb;2021;2705
08100 Gurb;2020;2713
08101 Hospitalet de Llobregat, L';2022;265444
08101 Hospitalet de Llobregat, L';2021;264657
08101 Hospitalet de Llobregat, L';2020;269382
08162 Hostalets de Pierola, Els;2022;3127
08162 Hostalets de Pierola, Els;2021;3064
08162 Hostalets de Pierola, Els;2020;2980
08102 Igualada;2022;40767
08102 Igualada;2021;40875
08102 Igualada;2020;40742
08103 Jorba;2022;806
08103 Jorba;2021;825
08103 Jorba;2020;833
08104 Llacuna, La;2022;942
08104 Llacuna, La;2021;917
08104 Llacuna, La;2020;903
08105 Llagosta, La;2022;13155
08105 Llagosta, La;2021;13259
08105 Llagosta, La;2020;13587
08107 Lliçà d'Amunt;2022;15801
08107 Lliçà d'Amunt;2021;15673
08107 Lliçà d'Amunt;2020;15469
08108 Lliçà de Vall;2022;6760
08108 Lliçà de Vall;2021;6580
08108 Lliçà de Vall;2020;6497
08106 Llinars del Vallès;2022;10205
08106 Llinars del Vallès;2021;10116
08106 Llinars del Vallès;2020;10018
08109 Lluçà;2022;279
08109 Lluçà;2021;271
08109 Lluçà;2020;276
08110 Malgrat de Mar;2022;19093
08110 Malgrat de Mar;2021;18950
08110 Malgrat de Mar;2020;18772
08111 Malla;2022;272
08111 Malla;2021;276
08111 Malla;2020;272
08112 Manlleu;2022;20883
08112 Manlleu;2021;20804
08112 Manlleu;2020;20912
08113 Manresa;2022;77452
08113 Manresa;2021;78192
08113 Manresa;2020;78245
08242 Marganell;2022;282
08242 Marganell;2021;271
08242 Marganell;2020;266
08114 Martorell;2022;28684
08114 Martorell;2021;28667
08114 Martorell;2020;28772
08115 Martorelles;2022;4859
08115 Martorelles;2021;4823
08115 Martorelles;2020;4820
08116 Masies de Roda, Les;2022;733
08116 Masies de Roda, Les;2021;704
08116 Masies de Roda, Les;2020;719
08117 Masies de Voltregà, Les;2022;3133
08117 Masies de Voltregà, Les;2021;3178
08117 Masies de Voltregà, Les;2020;3132
08118 Masnou, El;2022;23829
08118 Masnou, El;2021;23848
08118 Masnou, El;2020;23831
08119 Masquefa;2022;9744
08119 Masquefa;2021;9623
08119 Masquefa;2020;9402
08120 Matadepera;2022;9752
08120 Matadepera;2021;9672
08120 Matadepera;2020;9496
08121 Mataró;2022;128956
08121 Mataró;2021;129120
08121 Mataró;2020;129661
08122 Mediona;2022;2517
08122 Mediona;2021;2419
08122 Mediona;2020;2369
08138 Moià;2022;6548
08138 Moià;2021;6474
08138 Moià;2020;6383
08123 Molins de Rei;2022;26242
08123 Molins de Rei;2021;26104
08123 Molins de Rei;2020;25940
08124 Mollet del Vallès;2022;51294
08124 Mollet del Vallès;2021;51151
08124 Mollet del Vallès;2020;51600
08128 Monistrol de Calders;2022;742
08128 Monistrol de Calders;2021;716
08128 Monistrol de Calders;2020;702
08127 Monistrol de Montserrat;2022;3166
08127 Monistrol de Montserrat;2021;3178
08127 Monistrol de Montserrat;2020;3139
08125 Montcada i Reixac;2022;36666
08125 Montcada i Reixac;2021;36794
08125 Montcada i Reixac;2020;36803
08130 Montclar;2022;136
08130 Montclar;2021;136
08130 Montclar;2020;139
08131 Montesquiu;2022;1059
08131 Montesquiu;2021;1048
08131 Montesquiu;2020;1030
08126 Montgat;2022;12277
08126 Montgat;2021;12260
08126 Montgat;2020;12200
08132 Montmajor;2022;484
08132 Montmajor;2021;472
08132 Montmajor;2020;469
08133 Montmaneu;2022;166
08133 Montmaneu;2021;158
08133 Montmaneu;2020;151
08135 Montmeló;2022;8793
08135 Montmeló;2021;8798
08135 Montmeló;2020;8831
08136 Montornès del Vallès;2022;16707
08136 Montornès del Vallès;2021;16804
08136 Montornès del Vallès;2020;16644
08137 Montseny;2022;370
08137 Montseny;2021;362
08137 Montseny;2020;351
08129 Muntanyola;2022;700
08129 Muntanyola;2021;655
08129 Muntanyola;2020;632
08139 Mura;2022;232
08139 Mura;2021;231
08139 Mura;2020;220
08140 Navarcles;2022;6067
08140 Navarcles;2021;6068
08140 Navarcles;2020;6057
08141 Navàs;2022;6018
08141 Navàs;2021;5973
08141 Navàs;2020;6018
08142 Nou de Berguedà, La;2022;179
08142 Nou de Berguedà, La;2021;176
08142 Nou de Berguedà, La;2020;162
08143 Òdena;2022;3728
08143 Òdena;2021;3681
08143 Òdena;2020;3668
08145 Olèrdola;2022;3884
08145 Olèrdola;2021;3847
08145 Olèrdola;2020;3768
08146 Olesa de Bonesvalls;2022;2016
08146 Olesa de Bonesvalls;2021;1923
08146 Olesa de Bonesvalls;2020;1840
08147 Olesa de Montserrat;2022;24272
08147 Olesa de Montserrat;2021;24132
08147 Olesa de Montserrat;2020;24144
08148 Olivella;2022;4339
08148 Olivella;2021;4127
08148 Olivella;2020;3935
08149 Olost;2022;1206
08149 Olost;2021;1190
08149 Olost;2020;1202
08144 Olvan;2022;876
08144 Olvan;2021;874
08144 Olvan;2020;858
08150 Orís;2022;347
08150 Orís;2021;339
08150 Orís;2020;322
08151 Oristà;2022;573
08151 Oristà;2021;547
08151 Oristà;2020;549
08152 Orpí;2022;159
08152 Orpí;2021;154
08152 Orpí;2020;151
08153 Òrrius;2022;793
08153 Òrrius;2021;779
08153 Òrrius;2020;758
08154 Pacs del Penedès;2022;935
08154 Pacs del Penedès;2021;915
08154 Pacs del Penedès;2020;918
08155 Palafolls;2022;9661
08155 Palafolls;2021;9646
08155 Palafolls;2020;9613
08156 Palau-solità i Plegamans;2022;14911
08156 Palau-solità i Plegamans;2021;14917
08156 Palau-solità i Plegamans;2020;14892
08157 Pallejà;2022;11593
08157 Pallejà;2021;11636
08157 Pallejà;2020;11622
08905 Palma de Cervelló, La;2022;3026
08905 Palma de Cervelló, La;2021;3015
08905 Palma de Cervelló, La;2020;2992
08158 Papiol, El;2022;4274
08158 Papiol, El;2021;4232
08158 Papiol, El;2020;4172
08159 Parets del Vallès;2022;18889
08159 Parets del Vallès;2021;18907
08159 Parets del Vallès;2020;19071
08160 Perafita;2022;418
08160 Perafita;2021;412
08160 Perafita;2020;405
08161 Piera;2022;16787
08161 Piera;2021;16411
08161 Piera;2020;16134
08163 Pineda de Mar;2022;28083
08163 Pineda de Mar;2021;27974
08163 Pineda de Mar;2020;27984
08164 Pla del Penedès, El;2022;1335
08164 Pla del Penedès, El;2021;1306
08164 Pla del Penedès, El;2020;1275
08165 Pobla de Claramunt, La;2022;2275
08165 Pobla de Claramunt, La;2021;2207
08165 Pobla de Claramunt, La;2020;2185
08166 Pobla de Lillet, La;2022;1079
08166 Pobla de Lillet, La;2021;1063
08166 Pobla de Lillet, La;2020;1093
08167 Polinyà;2022;8451
08167 Polinyà;2021;8494
08167 Polinyà;2020;8504
08182 Pont de Vilomara i Rocafort, El;2022;4024
08182 Pont de Vilomara i Rocafort, El;2021;4016
08182 Pont de Vilomara i Rocafort, El;2020;3907
08168 Pontons;2022;507
08168 Pontons;2021;523
08168 Pontons;2020;528
08169 Prat de Llobregat, El;2022;65030
08169 Prat de Llobregat, El;2021;65532
08169 Prat de Llobregat, El;2020;65385
08171 Prats de Lluçanès;2022;2627
08171 Prats de Lluçanès;2021;2634
08171 Prats de Lluçanès;2020;2604
08170 Prats de Rei, Els;2022;554
08170 Prats de Rei, Els;2021;551
08170 Prats de Rei, Els;2020;537
08230 Premià de Dalt;2022;10400
08230 Premià de Dalt;2021;10419
08230 Premià de Dalt;2020;10441
08172 Premià de Mar;2022;28518
08172 Premià de Mar;2021;28523
08172 Premià de Mar;2020;28531
08174 Puigdàlber;2022;555
08174 Puigdàlber;2021;551
08174 Puigdàlber;2020;524
08175 Puig-reig;2022;4327
08175 Puig-reig;2021;4289
08175 Puig-reig;2020;4295
08176 Pujalt;2022;204
08176 Pujalt;2021;206
08176 Pujalt;2020;210
08177 Quar, La;2022;47
08177 Quar, La;2021;51
08177 Quar, La;2020;49
08178 Rajadell;2022;545
08178 Rajadell;2021;549
08178 Rajadell;2020;534
08179 Rellinars;2022;915
08179 Rellinars;2021;868
08179 Rellinars;2020;809
08180 Ripollet;2022;39031
08180 Ripollet;2021;39139
08180 Ripollet;2020;39179
08181 Roca del Vallès, La;2022;10776
08181 Roca del Vallès, La;2021;10676
08181 Roca del Vallès, La;2020;10754
08183 Roda de Ter;2022;6555
08183 Roda de Ter;2021;6449
08183 Roda de Ter;2020;6490
08184 Rubí;2022;79007
08184 Rubí;2021;78549
08184 Rubí;2020;78591
08185 Rubió;2022;244
08185 Rubió;2021;236
08185 Rubió;2020;239
08901 Rupit i Pruit;2022;279
08901 Rupit i Pruit;2021;296
08901 Rupit i Pruit;2020;271
08187 Sabadell;2022;215760
08187 Sabadell;2021;216204
08187 Sabadell;2020;216520
08188 Sagàs;2022;157
08188 Sagàs;2021;151
08188 Sagàs;2020;145
08190 Saldes;2022;298
08190 Saldes;2021;283
08190 Saldes;2020;278
08191 Sallent;2022;6805
08191 Sallent;2021;6717
08191 Sallent;2020;6735
08194 Sant Adrià de Besòs;2022;36918
08194 Sant Adrià de Besòs;2021;37283
08194 Sant Adrià de Besòs;2020;37447
08195 Sant Agustí de Lluçanès;2022;100
08195 Sant Agustí de Lluçanès;2021;92
08195 Sant Agustí de Lluçanès;2020;89
08196 Sant Andreu de la Barca;2022;26965
08196 Sant Andreu de la Barca;2021;27175
08196 Sant Andreu de la Barca;2020;27569
08197 Sant Andreu de Llavaneres;2022;11593
08197 Sant Andreu de Llavaneres;2021;11150
08197 Sant Andreu de Llavaneres;2020;11133
08198 Sant Antoni de Vilamajor;2022;6483
08198 Sant Antoni de Vilamajor;2021;6383
08198 Sant Antoni de Vilamajor;2020;6208
08199 Sant Bartomeu del Grau;2022;924
08199 Sant Bartomeu del Grau;2021;913
08199 Sant Bartomeu del Grau;2020;884
08200 Sant Boi de Llobregat;2022;83371
08200 Sant Boi de Llobregat;2021;83755
08200 Sant Boi de Llobregat;2020;84500
08201 Sant Boi de Lluçanès;2022;575
08201 Sant Boi de Lluçanès;2021;573
08201 Sant Boi de Lluçanès;2020;580
08203 Sant Cebrià de Vallalta;2022;3619
08203 Sant Cebrià de Vallalta;2021;3570
08203 Sant Cebrià de Vallalta;2020;3438
08202 Sant Celoni;2022;18285
08202 Sant Celoni;2021;18176
08202 Sant Celoni;2020;18136
08204 Sant Climent de Llobregat;2022;4170
08204 Sant Climent de Llobregat;2021;4193
08204 Sant Climent de Llobregat;2020;4160
08205 Sant Cugat del Vallès;2022;95725
08205 Sant Cugat del Vallès;2021;94012
08205 Sant Cugat del Vallès;2020;92977
08206 Sant Cugat Sesgarrigues;2022;1009
