Periodo,Total,CP,Municipio
2020,3261,08227,SANT MARTÍ SARROCA
2022,361,08228,SANT MARTÍ SESGUEIOLES
2021,344,08228,SANT MARTÍ SESGUEIOLES
2020,342,08228,SANT MARTÍ SESGUEIOLES
2022,628,08229,SANT MATEU DE BAGES
2021,614,08229,SANT MATEU DE BAGES
2020,608,08229,SANT MATEU DE BAGES
2022,31688,08231,SANT PERE DE RIBES
2021,31525,08231,SANT PERE DE RIBES
2020,31111,08231,SANT PERE DE RIBES
2022,2404,08232,SANT PERE DE RIUDEBITLLES
2021,2411,08232,SANT PERE DE RIUDEBITLLES
2020,2380,08232,SANT PERE DE RIUDEBITLLES
2022,2514,08233,SANT PERE DE TORELLÓ
2021,2488,08233,SANT PERE DE TORELLÓ
2020,2470,08233,SANT PERE DE TORELLÓ
2022,4815,08234,SANT PERE DE VILAMAJOR
2021,4671,08234,SANT PERE DE VILAMAJOR
2020,4544,08234,SANT PERE DE VILAMAJOR
2022,167,08189,SANT PERE SALLAVINERA
2021,159,08189,SANT PERE SALLAVINERA
2020,151,08189,SANT PERE SALLAVINERA
2022,5680,08235,SANT POL DE MAR
2021,5538,08235,SANT POL DE MAR
2020,5428,08235,SANT POL DE MAR
2022,2393,08236,SANT QUINTÍ DE MEDIONA
2021,2367,08236,SANT QUINTÍ DE MEDIONA
2020,2317,08236,SANT QUINTÍ DE MEDIONA
2022,2142,08237,SANT QUIRZE DE BESORA
2021,2145,08237,SANT QUIRZE DE BESORA
2020,2154,08237,SANT QUIRZE DE BESORA
2022,20180,08238,SANT QUIRZE DEL VALLÈS
2021,20156,08238,SANT QUIRZE DEL VALLÈS
2020,20195,08238,SANT QUIRZE DEL VALLÈS
2022,672,08239,SANT QUIRZE SAFAJA
2021,660,08239,SANT QUIRZE SAFAJA
2020,631,08239,SANT QUIRZE SAFAJA
2022,12863,08240,SANT SADURNÍ D'ANOIA
2021,12840,08240,SANT SADURNÍ D'ANOIA
2020,12841,08240,SANT SADURNÍ D'ANOIA
2022,90,08241,SANT SADURNÍ D'OSORMORT
2021,76,08241,SANT SADURNÍ D'OSORMORT
2020,76,08241,SANT SADURNÍ D'OSORMORT
2022,3351,08098,SANT SALVADOR DE GUARDIOLA
2021,3243,08098,SANT SALVADOR DE GUARDIOLA
2020,3221,08098,SANT SALVADOR DE GUARDIOLA
2022,9949,08262,SANT VICENÇ DE CASTELLET
2021,9868,08262,SANT VICENÇ DE CASTELLET
2020,9767,08262,SANT VICENÇ DE CASTELLET
2022,6661,08264,SANT VICENÇ DE MONTALT
2021,6523,08264,SANT VICENÇ DE MONTALT
2020,6452,08264,SANT VICENÇ DE MONTALT
2022,2077,08265,SANT VICENÇ DE TORELLÓ
2021,2077,08265,SANT VICENÇ DE TORELLÓ
2020,2058,08265,SANT VICENÇ DE TORELLÓ
2022,28079,08263,SANT VICENÇ DELS HORTS
2021,28115,08263,SANT VICENÇ DELS HORTS
2020,28268,08263,SANT VICENÇ DELS HORTS
2022,185,08243,SANTA CECÍLIA DE VOLTREGÀ
2021,179,08243,SANTA CECÍLIA DE VOLTREGÀ
2020,182,08243,SANTA CECÍLIA DE VOLTREGÀ
2022,8309,08244,SANTA COLOMA DE CERVELLÓ
2021,8273,08244,SANTA COLOMA DE CERVELLÓ
2020,8268,08244,SANTA COLOMA DE CERVELLÓ
2022,117981,08245,SANTA COLOMA DE GRAMENET
2021,119289,08245,SANTA COLOMA DE GRAMENET
2020,120443,08245,SANTA COLOMA DE GRAMENET
2022,2256,08246,SANTA EUGÈNIA DE BERGA
2021,2259,08246,SANTA EUGÈNIA DE BERGA
2020,2278,08246,SANTA EUGÈNIA DE BERGA
2022,1401,08247,SANTA EULÀLIA DE RIUPRIMER
2021,1409,08247,SANTA EULÀLIA DE RIUPRIMER
2020,1383,08247,SANTA EULÀLIA DE RIUPRIMER
2022,7740,08248,SANTA EULÀLIA DE RONÇANA
2021,7538,08248,SANTA EULÀLIA DE RONÇANA
2020,7426,08248,SANTA EULÀLIA DE RONÇANA
2022,370,08249,SANTA FE DEL PENEDÈS
2021,378,08249,SANTA FE DEL PENEDÈS
2020,367,08249,SANTA FE DEL PENEDÈS
2022,10294,08250,SANTA MARGARIDA DE MONTBUI
2021,10192,08250,SANTA MARGARIDA DE MONTBUI
2020,10225,08250,SANTA MARGARIDA DE MONTBUI
2022,7624,08251,SANTA MARGARIDA I ELS MONJOS
2021,7664,08251,SANTA MARGARIDA I ELS MONJOS
2020,7676,08251,SANTA MARGARIDA I ELS MONJOS
2022,159,08253,SANTA MARIA DE BESORA
2021,161,08253,SANTA MARIA DE BESORA
2020,161,08253,SANTA MARIA DE BESORA
2022,889,08256,SANTA MARIA DE MARTORELLES
2021,882,08256,SANTA MARIA DE MARTORELLES
2020,890,08256,SANTA MARIA DE MARTORELLES
2022,184,08255,SANTA MARIA DE MERLÈS
2021,180,08255,SANTA MARIA DE MERLÈS
2020,184,08255,SANTA MARIA DE MERLÈS
2022,138,08257,SANTA MARIA DE MIRALLES
2021,129,08257,SANTA MARIA DE MIRALLES
2020,119,08257,SANTA MARIA DE MIRALLES
2022,9777,08259,SANTA MARIA DE PALAUTORDERA
2021,9666,08259,SANTA MARIA DE PALAUTORDERA
2020,9630,08259,SANTA MARIA DE PALAUTORDERA
2022,1063,08258,SANTA MARIA D'OLÓ
2021,1065,08258,SANTA MARIA D'OLÓ
2020,1024,08258,SANTA MARIA D'OLÓ
2022,25930,08260,SANTA PERPÈTUA DE MOGODA
2021,26033,08260,SANTA PERPÈTUA DE MOGODA
2020,25999,08260,SANTA PERPÈTUA DE MOGODA
2022,3755,08261,SANTA SUSANNA
2021,3650,08261,SANTA SUSANNA
2020,3548,08261,SANTA SUSANNA
2022,7612,08192,SANTPEDOR
2021,7566,08192,SANTPEDOR
2020,7604,08192,SANTPEDOR
2022,9417,08267,SENTMENAT
2021,9347,08267,SENTMENAT
2020,9235,08267,SENTMENAT
2022,3736,08269,SEVA
2021,3696,08269,SEVA
2020,3544,08269,SEVA
2022,31222,08270,SITGES
2021,30217,08270,SITGES
2020,29553,08270,SITGES
2022,83,08271,SOBREMUNT
2021,78,08271,SOBREMUNT
2020,78,08271,SOBREMUNT
2022,219,08272,SORA
2021,211,08272,SORA
2020,212,08272,SORA
2022,3241,08273,SUBIRATS
2021,3149,08273,SUBIRATS
2020,3104,08273,SUBIRATS
2022,5921,08274,SÚRIA
2021,5923,08274,SÚRIA
2020,5948,08274,SÚRIA
2022,340,08276,TAGAMANENT
2021,325,08276,TAGAMANENT
2020,318,08276,TAGAMANENT
2022,219,08277,TALAMANCA
2021,222,08277,TALAMANCA
2020,209,08277,TALAMANCA
2022,6699,08278,TARADELL
2021,6687,08278,TARADELL
2020,6640,08278,TARADELL
2022,329,08275,TAVÈRNOLES
2021,329,08275,TAVÈRNOLES
2020,322,08275,TAVÈRNOLES
2022,116,08280,TAVERTET
2021,113,08280,TAVERTET
2020,105,08280,TAVERTET
2022,6635,08281,TEIÀ
2021,6532,08281,TEIÀ
2020,6427,08281,TEIÀ
2022,224114,08279,TERRASSA
2021,223011,08279,TERRASSA
2020,223627,08279,TERRASSA
2022,9110,08282,TIANA
2021,9009,08282,TIANA
2020,8945,08282,TIANA
2022,8368,08283,TONA
2021,8368,08283,TONA
2020,8356,08283,TONA
2022,18022,08284,TORDERA
2021,17788,08284,TORDERA
2020,17519,08284,TORDERA
2022,14726,08285,TORELLÓ
2021,14553,08285,TORELLÓ
2020,14400,08285,TORELLÓ
2022,3966,08286,TORRE DE CLARAMUNT, LA
2021,3852,08286,TORRE DE CLARAMUNT, LA
2020,3741,08286,TORRE DE CLARAMUNT, LA
2022,1457,08287,TORRELAVIT
2021,1429,08287,TORRELAVIT
2020,1422,08287,TORRELAVIT
2022,2557,08288,TORRELLES DE FOIX
2021,2479,08288,TORRELLES DE FOIX
2020,2398,08288,TORRELLES DE FOIX
2022,6186,08289,TORRELLES DE LLOBREGAT
2021,6126,08289,TORRELLES DE LLOBREGAT
2020,6073,08289,TORRELLES DE LLOBREGAT
2022,2139,08290,ULLASTRELL
2021,2096,08290,ULLASTRELL
2020,2089,08290,ULLASTRELL
2022,7325,08291,VACARISSES
2021,7082,08291,VACARISSES
2020,6832,08291,VACARISSES
2022,1387,08292,VALLBONA D'ANOIA
2021,1375,08292,VALLBONA D'ANOIA
2020,1357,08292,VALLBONA D'ANOIA
2022,268,08293,VALLCEBRE
2021,258,08293,VALLCEBRE
2020,249,08293,VALLCEBRE
2022,3144,08294,VALLGORGUINA
2021,3052,08294,VALLGORGUINA
2020,2988,08294,VALLGORGUINA
2022,15658,08295,VALLIRANA
2021,15438,08295,VALLIRANA
2020,15312,08295,VALLIRANA
2022,2632,08296,VALLROMANES
2021,2594,08296,VALLROMANES
2020,2558,08296,VALLROMANES
2022,182,08297,VECIANA
2021,179,08297,VECIANA
2020,175,08297,VECIANA
2022,47545,08298,VIC
2021,47319,08298,VIC
2020,47630,08298,VIC
2022,439,08299,VILADA
2021,424,08299,VILADA
2020,419,08299,VILADA
2022,66720,08301,VILADECANS
2021,66707,08301,VILADECANS
2020,67197,08301,VILADECANS
2022,7644,08300,VILADECAVALLS
2021,7621,08300,VILADECAVALLS
2020,7545,08300,VILADECAVALLS
2022,40056,08305,VILAFRANCA DEL PENEDÈS
2021,39969,08305,VILAFRANCA DEL PENEDÈS
2020,40154,08305,VILAFRANCA DEL PENEDÈS
2022,748,08306,VILALBA SASSERRA
2021,758,08306,VILALBA SASSERRA
2020,753,08306,VILALBA SASSERRA
2022,320,08303,VILANOVA DE SAU
2021,314,08303,VILANOVA DE SAU
2020,312,08303,VILANOVA DE SAU
2022,12699,08302,VILANOVA DEL CAMÍ
2021,12736,08302,VILANOVA DEL CAMÍ
2020,12596,08302,VILANOVA DEL CAMÍ
2022,5557,08902,VILANOVA DEL VALLÈS
2021,5535,08902,VILANOVA DEL VALLÈS
2020,5503,08902,VILANOVA DEL VALLÈS
2022,68152,08307,VILANOVA I LA GELTRÚ
2021,67458,08307,VILANOVA I LA GELTRÚ
2020,67733,08307,VILANOVA I LA GELTRÚ
2022,9128,08214,VILASSAR DE DALT
2021,9074,08214,VILASSAR DE DALT
2020,9072,08214,VILASSAR DE DALT
2022,21067,08219,VILASSAR DE MAR
2021,20936,08219,VILASSAR DE MAR
2020,21035,08219,VILASSAR DE MAR
2022,1130,08304,VILOBÍ DEL PENEDÈS
2021,1128,08304,VILOBÍ DEL PENEDÈS
2020,1102,08304,VILOBÍ DEL PENEDÈS
2022,166,08308,VIVER I SERRATEIX
2021,175,08308,VIVER I SERRATEIX
2020,172,08308,VIVER I SERRATEIX
2022,903,17001,AGULLANA
2021,885,17001,AGULLANA
2020,863,17001,AGULLANA
2022,780,17002,AIGUAVIVA
2021,789,17002,AIGUAVIVA
2020,765,17002,AIGUAVIVA
2022,180,17003,ALBANYÀ
2021,178,17003,ALBANYÀ
2020,155,17003,ALBANYÀ
2022,797,17004,ALBONS
2021,798,17004,ALBONS
2020,759,17004,ALBONS
2022,1717,17006,ALP
2021,1645,17006,ALP
2020,1593,17006,ALP
2022,2422,17007,AMER
2021,2383,17007,AMER
2020,2332,17007,AMER
2022,5682,17008,ANGLÈS
2021,5709,17008,ANGLÈS
2020,5654,17008,ANGLÈS
2022,6474,17009,ARBÚCIES
2021,6507,17009,ARBÚCIES
2020,6608,17009,ARBÚCIES
2022,439,17010,ARGELAGUER
2021,417,17010,ARGELAGUER
2020,396,17010,ARGELAGUER
2022,1043,17011,ARMENTERA, L'
2021,998,17011,ARMENTERA, L'
2020,951,17011,ARMENTERA, L'
2022,1676,17012,AVINYONET DE PUIGVENTÓS
2021,1657,17012,AVINYONET DE PUIGVENTÓS
2020,1641,17012,AVINYONET DE PUIGVENTÓS
2022,20187,17015,BANYOLES
2021,20168,17015,BANYOLES
2020,20053,17015,BANYOLES
2022,1034,17016,BÀSCARA
2021,1015,17016,BÀSCARA
2020,1001,17016,BÀSCARA
2022,4177,17013,BEGUR
2021,4039,17013,BEGUR
2020,3891,17013,BEGUR
2022,713,17018,BELLCAIRE D'EMPORDÀ
2021,699,17018,BELLCAIRE D'EMPORDÀ
2020,678,17018,BELLCAIRE D'EMPORDÀ
2022,2480,17019,BESALÚ
2021,2502,17019,BESALÚ
2020,2487,17019,BESALÚ
2022,5156,17020,BESCANÓ
2021,5094,17020,BESCANÓ
2020,4991,17020,BESCANÓ
2022,202,17021,BEUDA
2021,187,17021,BEUDA
2020,186,17021,BEUDA
2022,11163,17022,BISBAL D'EMPORDÀ, LA
2021,11190,17022,BISBAL D'EMPORDÀ, LA
2020,11159,17022,BISBAL D'EMPORDÀ, LA
2022,249,17234,BIURE
2021,244,17234,BIURE
2020,241,17234,BIURE
2022,40579,17023,BLANES
2021,40274,17023,BLANES
2020,39914,17023,BLANES
2022,258,17029,BOADELLA I LES ESCAULES
2021,271,17029,BOADELLA I LES ESCAULES
2020,272,17029,BOADELLA I LES ESCAULES
2022,518,17024,BOLVIR
2021,489,17024,BOLVIR
2020,375,17024,BOLVIR
2022,1815,17025,BORDILS
2021,1796,17025,BORDILS
2020,1761,17025,BORDILS
2022,776,17026,BORRASSÀ
2021,752,17026,BORRASSÀ
2020,733,17026,BORRASSÀ
2022,3842,17027,BREDA
2021,3836,17027,BREDA
2020,3762,17027,BREDA
2022,388,17028,BRUNYOLA I SANT MARTÍ SAPRESA
2021,390,17028,BRUNYOLA I SANT MARTÍ SAPRESA
2020,389,17028,BRUNYOLA I SANT MARTÍ SAPRESA
2022,279,17031,CABANELLES
2021,266,17031,CABANELLES
2020,267,17031,CABANELLES
2022,949,17030,CABANES
2021,941,17030,CABANES
2020,968,17030,CABANES
2022,2889,17032,CADAQUÉS
2021,2820,17032,CADAQUÉS
2020,2695,17032,CADAQUÉS
2022,8196,17033,CALDES DE MALAVELLA
2021,8051,17033,CALDES DE MALAVELLA
2020,7872,17033,CALDES DE MALAVELLA
2022,11712,17034,CALOGNE I SANT ANTONI
2021,11484,17034,CALOGNE I SANT ANTONI
2020,11331,17034,CALOGNE I SANT ANTONI
2022,715,17035,CAMÓS
2021,711,17035,CAMÓS
2020,677,17035,CAMÓS
2022,3217,17036,CAMPDEVÀNOL
2021,3225,17036,CAMPDEVÀNOL
2020,3232,17036,CAMPDEVÀNOL
2022,162,17037,CAMPELLES
2021,149,17037,CAMPELLES
2020,140,17037,CAMPELLES
2022,535,17038,CAMPLLONG
2021,533,17038,CAMPLLONG
2020,537,17038,CAMPLLONG
2022,2469,17039,CAMPRODON
2021,2435,17039,CAMPRODON
2020,2298,17039,CAMPRODON
2022,750,17040,CANET D'ADRI
2021,749,17040,CANET D'ADRI
2020,729,17040,CANET D'ADRI
2022,330,17041,CANTALLOPS
2021,305,17041,CANTALLOPS
2020,309,17041,CANTALLOPS
2022,672,17042,CAPMANY
2021,618,17042,CAPMANY
2020,611,17042,CAPMANY
2022,10680,17044,CASSÀ DE LA SELVA
2021,10505,17044,CASSÀ DE LA SELVA
2020,10410,17044,CASSÀ DE LA SELVA
2022,926,17046,CASTELLFOLLIT DE LA ROCA
2021,939,17046,CASTELLFOLLIT DE LA ROCA
2020,947,17046,CASTELLFOLLIT DE LA ROCA
2022,11611,17047,CASTELLÓ D'EMPÚRIES
2021,11154,17047,CASTELLÓ D'EMPÚRIES
2020,11100,17047,CASTELLÓ D'EMPÚRIES
2022,11757,17048,CASTELL-PLATJA D'ARO
2021,11455,17048,CASTELL-PLATJA D'ARO
2020,11030,17048,CASTELL-PLATJA D'ARO
2022,1967,17189,CELLERA DE TER, LA
2021,1973,17189,CELLERA DE TER, LA
2020,1950,17189,CELLERA DE TER, LA
2022,5503,17049,CELRÀ
2021,5606,17049,CELRÀ
2020,5561,17049,CELRÀ
2022,999,17050,CERVIÀ DE TER
2021,973,17050,CERVIÀ DE TER
2020,966,17050,CERVIÀ DE TER
2022,307,17051,CISTELLA
2021,282,17051,CISTELLA
2020,282,17051,CISTELLA
2022,468,17054,COLERA
2021,462,17054,COLERA
2020,445,17054,COLERA
2022,204,17055,COLOMERS
2021,188,17055,COLOMERS
2020,174,17055,COLOMERS
2022,1268,17057,CORÇÀ
2021,1275,17057,CORÇÀ
2020,1268,17057,CORÇÀ
2022,2407,17056,CORNELLÀ DEL TERRI
2021,2422,17056,CORNELLÀ DEL TERRI
2020,2399,17056,CORNELLÀ DEL TERRI
2022,276,17058,CRESPIÀ
2021,270,17058,CRESPIÀ
2020,254,17058,CRESPIÀ
2022,1338,17901,CRUÏLLES, MONELLS I SANT SADURNÍ DE L'HEURA
2021,1327,17901,CRUÏLLES, MONELLS I SANT SADURNÍ DE L'HEURA
2020,1270,17901,CRUÏLLES, MONELLS I SANT SADURNÍ DE L'HEURA
2022,535,17060,DARNIUS
2021,540,17060,DARNIUS
2020,537,17060,DARNIUS
2022,267,17061,DAS
2021,248,17061,DAS
2020,234,17061,DAS
2022,10520,17062,ESCALA, L'
2021,10497,17062,ESCALA, L'
2020,10244,17062,ESCALA, L'
2022,248,17063,ESPINELVES
2021,239,17063,ESPINELVES
2020,221,17063,ESPINELVES
2022,408,17064,ESPOLLA
2021,412,17064,ESPOLLA
2020,412,17064,ESPOLLA
2022,489,17065,ESPONELLÀ
2021,469,17065,ESPONELLÀ
2020,463,17065,ESPONELLÀ
2022,625,17005,FAR D'EMPORDÀ, EL
2021,619,17005,FAR D'EMPORDÀ, EL
2020,602,17005,FAR D'EMPORDÀ, EL
2022,47088,17066,FIGUERES
2021,47043,17066,FIGUERES
2020,47235,17066,FIGUERES
2022,1130,17067,FLAÇÀ
2021,1147,17067,FLAÇÀ
2020,1130,17067,FLAÇÀ
2022,288,17068,FOIXÀ
2021,299,17068,FOIXÀ
2020,303,17068,FOIXÀ
2022,533,17069,FONTANALS DE CERDANYA
2021,506,17069,FONTANALS DE CERDANYA
2020,437,17069,FONTANALS DE CERDANYA
2022,163,17070,FONTANILLES
2021,157,17070,FONTANILLES
2020,146,17070,FONTANILLES
2022,1466,17071,FONTCOBERTA
2021,1468,17071,FONTCOBERTA
2020,1469,17071,FONTCOBERTA
2022,1765,17902,FORALLAC
2021,1708,17902,FORALLAC
2020,1695,17902,FORALLAC
2022,2693,17073,FORNELLS DE LA SELVA
2021,2700,17073,FORNELLS DE LA SELVA
2020,2670,17073,FORNELLS DE LA SELVA
2022,778,17074,FORTIÀ
2021,793,17074,FORTIÀ
2020,787,17074,FORTIÀ
2022,458,17075,GARRIGÀS
2021,464,17075,GARRIGÀS
2020,451,17075,GARRIGÀS
2022,177,17076,GARRIGOLES
2021,170,17076,GARRIGOLES
2020,167,17076,GARRIGOLES
2022,922,17077,GARRIGUELLA
2021,909,17077,GARRIGUELLA
2020,853,17077,GARRIGUELLA
2022,512,17078,GER
2021,502,17078,GER
2020,449,17078,GER
2022,102666,17079,GIRONA
2021,101932,17079,GIRONA
2020,103369,17079,GIRONA
2022,200,17080,GOMBRÈN
2021,196,17080,GOMBRÈN
2020,192,17080,GOMBRÈN
2022,439,17081,GUALTA
2021,421,17081,GUALTA
2020,402,17081,GUALTA
2022,573,17082,GUILS DE CERDANYA
2021,588,17082,GUILS DE CERDANYA
2020,549,17082,GUILS DE CERDANYA
2022,4370,17083,HOSTALRIC
2021,4332,17083,HOSTALRIC
2020,4291,17083,HOSTALRIC
2022,318,17084,ISÒVOL
2021,314,17084,ISÒVOL
2020,281,17084,ISÒVOL
2022,386,17085,JAFRE
2021,382,17085,JAFRE
2020,387,17085,JAFRE
2022,3317,17086,JONQUERA, LA
2021,3340,17086,JONQUERA, LA
2020,3320,17086,JONQUERA, LA
2022,334,17087,JUIÀ
2021,327,17087,JUIÀ
2020,319,17087,JUIÀ
2022,827,17088,LLADÓ
2021,845,17088,LLADÓ
2020,844,17088,LLADÓ
2022,9024,17089,LLAGOSTERA
2021,8851,17089,LLAGOSTERA
2020,8647,17089,LLAGOSTERA
2022,731,17090,LLAMBILLES
2021,730,17090,LLAMBILLES
2020,713,17090,LLAMBILLES
2022,533,17091,LLANARS
2021,535,17091,LLANARS
2020,535,17091,LLANARS
2022,4905,17092,LLANÇÀ
2021,4842,17092,LLANÇÀ
2020,4775,17092,LLANÇÀ
2022,1245,17093,LLERS
2021,1252,17093,LLERS
2020,1237,17093,LLERS
2022,1495,17094,LLIVIA
2021,1504,17094,LLIVIA
2020,1431,17094,LLIVIA
2022,38941,17095,LLORET DE MAR
2021,38402,17095,LLORET DE MAR
2020,39089,17095,LLORET DE MAR
2022,205,17096,LLOSSES, LES
2021,209,17096,LLOSSES, LES
2020,212,17096,LLOSSES, LES
2022,724,17102,MAÇANET DE CABRENYS
2021,729,17102,MAÇANET DE CABRENYS
2020,698,17102,MAÇANET DE CABRENYS
2022,7572,17103,MAÇANET DE LA SELVA
2021,7349,17103,MAÇANET DE LA SELVA
2020,7066,17103,MAÇANET DE LA SELVA
2022,302,17097,MADREMANYA
2021,296,17097,MADREMANYA
2020,288,17097,MADREMANYA
2022,462,17098,MAIÀ DE MONTCAL
2021,469,17098,MAIÀ DE MONTCAL
2020,463,17098,MAIÀ DE MONTCAL
2022,294,17100,MASARAC
2021,284,17100,MASARAC
2020,288,17100,MASARAC
2022,825,17101,MASSANES
2021,803,17101,MASSANES
2020,796,17101,MASSANES
2022,111,17099,MERANGES
2021,97,17099,MERANGES
2020,100,17099,MERANGES
2022,341,17105,MIERES
2021,349,17105,MIERES
2020,345,17105,MIERES
2022,202,17106,MOLLET DE PERALADA
2021,197,17106,MOLLET DE PERALADA
2020,198,17106,MOLLET DE PERALADA
2022,365,17107,MOLLÓ
2021,347,17107,MOLLÓ
2020,336,17107,MOLLÓ
2022,958,17109,MONTAGUT I OIX
2021,951,17109,MONTAGUT I OIX
2020,930,17109,MONTAGUT I OIX
2022,1676,17110,MONT-RAS
2021,1672,17110,MONT-RAS
2020,1680,17110,MONT-RAS
2022,1465,17111,NAVATA
2021,1434,17111,NAVATA
2020,1427,17111,NAVATA
2022,222,17112,OGASSA
2021,240,17112,OGASSA
2020,240,17112,OGASSA
2022,36716,17114,OLOT
2021,36299,17114,OLOT
2020,35926,17114,OLOT
2022,373,17115,ORDIS
2021,369,17115,ORDIS
2020,361,17115,ORDIS
2022,423,17116,OSOR
2021,426,17116,OSOR
2020,428,17116,OSOR
2022,23396,17117,PALAFRUGELL
2021,23046,17117,PALAFRUGELL
2020,23244,17117,PALAFRUGELL
2022,18145,17118,PALAMÓS
2021,18196,17118,PALAMÓS
2020,18135,17118,PALAMÓS
2022,115,17119,PALAU DE SANTA EULÀLIA
2021,111,17119,PALAU DE SANTA EULÀLIA
2020,90,17119,PALAU DE SANTA EULÀLIA
2022,327,17121,PALAU-SATOR
2021,323,17121,PALAU-SATOR
2020,310,17121,PALAU-SATOR
2022,1472,17120,PALAU-SAVERDERA
2021,1490,17120,PALAU-SAVERDERA
2020,1456,17120,PALAU-SAVERDERA
2022,457,17123,PALOL DE REVARDIT
2021,446,17123,PALOL DE REVARDIT
2020,448,17123,PALOL DE REVARDIT
2022,2548,17124,PALS
2021,2516,17124,PALS
2020,2395,17124,PALS
2022,165,17125,PARDINES
2021,166,17125,PARDINES
2020,169,17125,PARDINES
2022,415,17126,PARLAVÀ
2021,413,17126,PARLAVÀ
2020,391,17126,PARLAVÀ
2022,579,17128,PAU
2021,588,17128,PAU
2020,557,17128,PAU
2022,181,17129,PEDRET I MARZÀ
2021,187,17129,PEDRET I MARZÀ
2020,191,17129,PEDRET I MARZÀ
2022,438,17130,PERA, LA
2021,448,17130,PERA, LA
2020,435,17130,PERA, LA
2022,1974,17132,PERALADA
2021,1945,17132,PERALADA
2020,1898,17132,PERALADA
2022,1745,17133,PLANES D'HOSTOLES, LES
2021,1711,17133,PLANES D'HOSTOLES, LES
2020,1712,17133,PLANES D'HOSTOLES, LES
2022,307,17134,PLANOLES
2021,311,17134,PLANOLES
2020,304,17134,PLANOLES
2022,542,17135,PONT DE MOLINS
2021,518,17135,PONT DE MOLINS
2020,516,17135,PONT DE MOLINS
2022,274,17136,PONTÓS
2021,264,17136,PONTÓS
2020,260,17136,PONTÓS
2022,4712,17137,PORQUERAS
2021,4701,17137,PORQUERAS
2020,4677,17137,PORQUERAS
2022,1015,17140,PORT DE LA SELVA, EL
2021,1010,17140,PORT DE LA SELVA, EL
2020,958,17140,PORT DE LA SELVA, EL
2022,1090,17138,PORTBOU
2021,1095,17138,PORTBOU
2020,1063,17138,PORTBOU
2022,1875,17139,LES PRESES
2021,1875,17139,LES PRESES
2020,1855,17139,LES PRESES
2022,9484,17141,PUIGCERDÀ
2021,9518,17141,PUIGCERDÀ
2020,9486,17141,PUIGCERDÀ
2022,3906,17142,QUART
2021,3856,17142,QUART
2020,3798,17142,QUART
2022,191,17043,QUERALBS
2021,191,17043,QUERALBS
2020,188,17043,QUERALBS
2022,210,17143,RABÓS
2021,206,17143,RABÓS
2020,184,17143,RABÓS
2022,271,17144,REGENCÓS
2021,282,17144,REGENCÓS
2020,276,17144,REGENCÓS
2022,1810,17145,RIBES DE FRESER
2021,1787,17145,RIBES DE FRESER
2020,1760,17145,RIBES DE FRESER
2022,4279,17146,RIELLS I VIABREA
2021,4268,17146,RIELLS I VIABREA
2020,4153,17146,RIELLS I VIABREA
2022,10641,17147,RIPOLL
2021,10721,17147,RIPOLL
2020,10803,17147,RIPOLL
2022,2337,17148,RIUDARENES
2021,2283,17148,RIUDARENES
2020,2204,17148,RIUDARENES
2022,511,17149,RIUDAURA
2021,511,17149,RIUDAURA
2020,481,17149,RIUDAURA
2022,2072,17150,RIUDELLOTS DE LA SELVA
2021,2076,17150,RIUDELLOTS DE LA SELVA
2020,2071,17150,RIUDELLOTS DE LA SELVA
2022,244,17151,RIUMORS
2021,244,17151,RIUMORS
2020,246,17151,RIUMORS
2022,19907,17152,ROSES
2021,19921,17152,ROSES
2020,19807,17152,ROSES
2022,300,17153,RUPIÀ
2021,296,17153,RUPIÀ
2020,273,17153,RUPIÀ
2022,169,17154,SALES DE LLIERCA
2021,164,17154,SALES DE LLIERCA
2020,159,17154,SALES DE LLIERCA
2022,32517,17155,SALT
2021,32230,17155,SALT
2020,32138,17155,SALT
2022,162,17157,SANT ANDREU SALOU
2021,156,17157,SANT ANDREU SALOU
2020,160,17157,SANT ANDREU SALOU
2022,363,17183,SANT ANIOL DE FINESTRES
2021,353,17183,SANT ANIOL DE FINESTRES
2020,345,17183,SANT ANIOL DE FINESTRES
2022,696,17158,SANT CLIMENT SESCEBES
2021,712,17158,SANT CLIMENT SESCEBES
2020,707,17158,SANT CLIMENT SESCEBES
2022,839,17159,SANT FELIU DE BUIXALLEU
2021,808,17159,SANT FELIU DE BUIXALLEU
2020,797,17159,SANT FELIU DE BUIXALLEU
2022,22149,17160,SANT FELIU DE GUÍXOLS
2021,22210,17160,SANT FELIU DE GUÍXOLS
2020,22097,17160,SANT FELIU DE GUÍXOLS
2022,1495,17161,SANT FELIU DE PALLEROLS
2021,1456,17161,SANT FELIU DE PALLEROLS
2020,1437,17161,SANT FELIU DE PALLEROLS
2022,256,17162,SANT FERRIOL
2021,247,17162,SANT FERRIOL
2020,236,17162,SANT FERRIOL
2022,4085,17163,SANT GREGORI
2021,4012,17163,SANT GREGORI
2020,3928,17163,SANT GREGORI
2022,5836,17164,SANT HILARI SACALM
2021,5758,17164,SANT HILARI SACALM
2020,5703,17164,SANT HILARI SACALM
2022,842,17165,SANT JAUME DE LLIERCA
2021,852,17165,SANT JAUME DE LLIERCA
2020,871,17165,SANT JAUME DE LLIERCA
2022,3274,17167,SANT JOAN DE LES ABADESSES
2021,3250,17167,SANT JOAN DE LES ABADESSES
2020,3224,17167,SANT JOAN DE LES ABADESSES
2022,515,17168,SANT JOAN DE MOLLET
