Periodo,Total,CP,Municipio
2022,778,08055,CASTELLCIR
2021,753,08055,CASTELLCIR
2020,742,08055,CASTELLCIR
2022,67307,08056,CASTELLDEFELS
2021,67226,08056,CASTELLDEFELS
2020,67460,08056,CASTELLDEFELS
2022,2474,08058,CASTELLET I LA GORNAL
2021,2452,08058,CASTELLET I LA GORNAL
2020,2382,08058,CASTELLET I LA GORNAL
2022,159,08060,CASTELLFOLLIT DE RIUBREGÓS
2021,163,08060,CASTELLFOLLIT DE RIUBREGÓS
2020,162,08060,CASTELLFOLLIT DE RIUBREGÓS
2022,460,08059,CASTELLFOLLIT DEL BOIX
2021,448,08059,CASTELLFOLLIT DEL BOIX
2020,447,08059,CASTELLFOLLIT DEL BOIX
2022,2236,08061,CASTELLGALÍ
2021,2179,08061,CASTELLGALÍ
2020,2119,08061,CASTELLGALÍ
2022,1431,08062,CASTELLNOU DE BAGES
2021,1420,08062,CASTELLNOU DE BAGES
2020,1437,08062,CASTELLNOU DE BAGES
2022,636,08063,CASTELLOLÍ
2021,653,08063,CASTELLOLÍ
2020,626,08063,CASTELLOLÍ
2022,2655,08064,CASTELLTERÇOL
2021,2632,08064,CASTELLTERÇOL
2020,2548,08064,CASTELLTERÇOL
2022,1614,08065,CASTELLVÍ DE LA MARCA
2021,1597,08065,CASTELLVÍ DE LA MARCA
2020,1575,08065,CASTELLVÍ DE LA MARCA
2022,2096,08066,CASTELLVÍ DE ROSANES
2021,1996,08066,CASTELLVÍ DE ROSANES
2020,1933,08066,CASTELLVÍ DE ROSANES
2022,7641,08067,CENTELLES
2021,7595,08067,CENTELLES
2020,7513,08067,CENTELLES
2022,1169,08268,CERCS
2021,1190,08268,CERCS
2020,1150,08268,CERCS
2022,57291,08266,CERDANYOLA DEL VALLÈS
2021,57217,08266,CERDANYOLA DEL VALLÈS
2020,57855,08266,CERDANYOLA DEL VALLÈS
2022,9307,08068,CERVELLÓ
2021,9233,08068,CERVELLÓ
2020,9077,08068,CERVELLÓ
2022,4726,08069,COLLBATÓ
2021,4655,08069,COLLBATÓ
2020,4544,08069,COLLBATÓ
2022,398,08070,COLLSUSPINA
2021,387,08070,COLLSUSPINA
2020,359,08070,COLLSUSPINA
2022,333,08071,COPONS
2021,322,08071,COPONS
2020,321,08071,COPONS
2022,15210,08072,CORBERA DE LLOBREGAT
2021,15017,08072,CORBERA DE LLOBREGAT
2020,14882,08072,CORBERA DE LLOBREGAT
2022,89039,08073,CORNELLÀ DE LLOBREGAT
2021,89300,08073,CORNELLÀ DE LLOBREGAT
2020,89936,08073,CORNELLÀ DE LLOBREGAT
2022,16386,08074,CUBELLES
2021,16051,08074,CUBELLES
2020,15770,08074,CUBELLES
2022,5710,08075,DOSRIUS
2021,5685,08075,DOSRIUS
2020,5652,08075,DOSRIUS
2022,22365,08076,ESPARREGUERA
2021,22358,08076,ESPARREGUERA
2020,22302,08076,ESPARREGUERA
2022,46414,08077,ESPLUGUES DE LLOBREGAT
2021,46777,08077,ESPLUGUES DE LLOBREGAT
2020,47150,08077,ESPLUGUES DE LLOBREGAT
2022,265,08078,ESPUNYOLA, L'
2021,258,08078,ESPUNYOLA, L'
2020,242,08078,ESPUNYOLA, L'
2022,2245,08254,ESQUIROL, L'
2021,2198,08254,ESQUIROL, L'
2020,2186,08254,ESQUIROL, L'
2022,391,08079,ESTANY, L'
2021,408,08079,ESTANY, L'
2020,408,08079,ESTANY, L'
2022,1108,08134,FIGARÓ-MONTMANY
2021,1127,08134,FIGARÓ-MONTMANY
2020,1142,08134,FIGARÓ-MONTMANY
2022,45,08080,FÍGOLS
2021,46,08080,FÍGOLS
2020,43,08080,FÍGOLS
2022,1564,08082,FOGARS DE LA SELVA
2021,1540,08082,FOGARS DE LA SELVA
2020,1469,08082,FOGARS DE LA SELVA
2022,493,08081,FOGARS DE MONTCLÚS
2021,467,08081,FOGARS DE MONTCLÚS
2020,475,08081,FOGARS DE MONTCLÚS
2022,2254,08083,FOLGUEROLES
2021,2269,08083,FOLGUEROLES
2020,2265,08083,FOLGUEROLES
2022,1546,08084,FONOLLOSA
2021,1495,08084,FONOLLOSA
2020,1459,08084,FONOLLOSA
2022,1446,08085,FONT-RUBÍ
2021,1440,08085,FONT-RUBÍ
2020,1414,08085,FONT-RUBÍ
2022,20322,08086,LES FRANQUESES DEL VALLÈS
2021,20351,08086,LES FRANQUESES DEL VALLÈS
2020,20364,08086,LES FRANQUESES DEL VALLÈS
2022,179,08090,GAIÀ
2021,189,08090,GAIÀ
2020,183,08090,GAIÀ
2022,186,08087,GALLIFA
2021,183,08087,GALLIFA
2020,167,08087,GALLIFA
2022,16788,08088,GARRIGA, LA
2021,16733,08088,GARRIGA, LA
2020,16668,08088,GARRIGA, LA
2022,46974,08089,GAVÁ
2021,46931,08089,GAVÁ
2020,47057,08089,GAVÁ
2022,7814,08091,GELIDA
2021,7723,08091,GELIDA
2020,7670,08091,GELIDA
2022,4940,08092,GIRONELLA
2021,4916,08092,GIRONELLA
2020,4946,08092,GIRONELLA
2022,28,08093,GISCLARENY
2021,27,08093,GISCLARENY
2020,26,08093,GISCLARENY
2022,2207,08094,LA GRANADA
2021,2207,08094,LA GRANADA
2020,2208,08094,LA GRANADA
2022,80,08095,GRANERA
2021,85,08095,GRANERA
2020,77,08095,GRANERA
2022,61983,08096,GRANOLLERS
2021,62475,08096,GRANOLLERS
2020,62419,08096,GRANOLLERS
2022,1610,08097,GUALBA
2021,1585,08097,GUALBA
2020,1548,08097,GUALBA
2022,918,08099,GUARDIOLA DE BERGUEDÀ
2021,929,08099,GUARDIOLA DE BERGUEDÀ
2020,941,08099,GUARDIOLA DE BERGUEDÀ
2022,2702,08100,GURB
2021,2705,08100,GURB
2020,2713,08100,GURB
2022,265444,08101,L'HOSPITALET DE LLOBREGAT
2021,264657,08101,L'HOSPITALET DE LLOBREGAT
2020,269382,08101,L'HOSPITALET DE LLOBREGAT
2022,3127,08162,HOSTALETS DE PIEROLA, ELS
2021,3064,08162,HOSTALETS DE PIEROLA, ELS
2020,2980,08162,HOSTALETS DE PIEROLA, ELS
2022,40767,08102,IGUALADA
2021,40875,08102,IGUALADA
2020,40742,08102,IGUALADA
2022,806,08103,JORBA
2021,825,08103,JORBA
2020,833,08103,JORBA
2022,942,08104,LLACUNA, LA
2021,917,08104,LLACUNA, LA
2020,903,08104,LLACUNA, LA
2022,13155,08105,LA LLAGOSTA
2021,13259,08105,LA LLAGOSTA
2020,13587,08105,LA LLAGOSTA
2022,15801,08107,LLIÇÀ D'AMUNT
2021,15673,08107,LLIÇÀ D'AMUNT
2020,15469,08107,LLIÇÀ D'AMUNT
2022,6760,08108,LLIÇÀ DEL VALL
2021,6580,08108,LLIÇÀ DEL VALL
2020,6497,08108,LLIÇÀ DEL VALL
2022,10205,08106,LLINARS DEL VALLÈS
2021,10116,08106,LLINARS DEL VALLÈS
2020,10018,08106,LLINARS DEL VALLÈS
2022,279,08109,LLUÇÀ
2021,271,08109,LLUÇÀ
2020,276,08109,LLUÇÀ
2022,19093,08110,MALGRAT DE MAR
2021,18950,08110,MALGRAT DE MAR
2020,18772,08110,MALGRAT DE MAR
2022,272,08111,MALLA
2021,276,08111,MALLA
2020,272,08111,MALLA
2022,20883,08112,MANLLEU
2021,20804,08112,MANLLEU
2020,20912,08112,MANLLEU
2022,77452,08113,MANRESA
2021,78192,08113,MANRESA
2020,78245,08113,MANRESA
2022,282,08242,MARGANELL
2021,271,08242,MARGANELL
2020,266,08242,MARGANELL
2022,28684,08114,MARTORELL
2021,28667,08114,MARTORELL
2020,28772,08114,MARTORELL
2022,4859,08115,MARTORELLES
2021,4823,08115,MARTORELLES
2020,4820,08115,MARTORELLES
2022,733,08116,LES MASIES DE RODA
2021,704,08116,LES MASIES DE RODA
2020,719,08116,LES MASIES DE RODA
2022,3133,08117,LES MASIES DE VOLTREGÀ
2021,3178,08117,LES MASIES DE VOLTREGÀ
2020,3132,08117,LES MASIES DE VOLTREGÀ
2022,23829,08118,MASNOU, EL
2021,23848,08118,MASNOU, EL
2020,23831,08118,MASNOU, EL
2022,9744,08119,MASQUEFA
2021,9623,08119,MASQUEFA
2020,9402,08119,MASQUEFA
2022,9752,08120,MATADEPERA
2021,9672,08120,MATADEPERA
2020,9496,08120,MATADEPERA
2022,128956,08121,MATARÓ
2021,129120,08121,MATARÓ
2020,129661,08121,MATARÓ
2022,2517,08122,MEDIONA
2021,2419,08122,MEDIONA
2020,2369,08122,MEDIONA
2022,6548,08138,MOIÀ
2021,6474,08138,MOIÀ
2020,6383,08138,MOIÀ
2022,26242,08123,MOLINS DE REI
2021,26104,08123,MOLINS DE REI
2020,25940,08123,MOLINS DE REI
2022,51294,08124,MOLLET DEL VALLÈS
2021,51151,08124,MOLLET DEL VALLÈS
2020,51600,08124,MOLLET DEL VALLÈS
2022,742,08128,MONISTROL DE CALDERS
2021,716,08128,MONISTROL DE CALDERS
2020,702,08128,MONISTROL DE CALDERS
2022,3166,08127,MONISTROL DE MONTSERRAT
2021,3178,08127,MONISTROL DE MONTSERRAT
2020,3139,08127,MONISTROL DE MONTSERRAT
2022,36666,08125,MONTCADA I REIXAC
2021,36794,08125,MONTCADA I REIXAC
2020,36803,08125,MONTCADA I REIXAC
2022,136,08130,MONTCLAR
2021,136,08130,MONTCLAR
2020,139,08130,MONTCLAR
2022,1059,08131,MONTESQUIU
2021,1048,08131,MONTESQUIU
2020,1030,08131,MONTESQUIU
2022,12277,08126,MONTGAT
2021,12260,08126,MONTGAT
2020,12200,08126,MONTGAT
2022,484,08132,MONTMAJOR
2021,472,08132,MONTMAJOR
2020,469,08132,MONTMAJOR
2022,166,08133,MONTMANEU
2021,158,08133,MONTMANEU
2020,151,08133,MONTMANEU
2022,8793,08135,MONTMELÓ
2021,8798,08135,MONTMELÓ
2020,8831,08135,MONTMELÓ
2022,16707,08136,MONTORNÈS DEL VALLÈS
2021,16804,08136,MONTORNÈS DEL VALLÈS
2020,16644,08136,MONTORNÈS DEL VALLÈS
2022,370,08137,MONTSENY
2021,362,08137,MONTSENY
2020,351,08137,MONTSENY
2022,700,08129,MUNTANYOLA
2021,655,08129,MUNTANYOLA
2020,632,08129,MUNTANYOLA
2022,232,08139,MURA
2021,231,08139,MURA
2020,220,08139,MURA
2022,6067,08140,NAVARCLES
2021,6068,08140,NAVARCLES
2020,6057,08140,NAVARCLES
2022,6018,08141,NAVÀS
2021,5973,08141,NAVÀS
2020,6018,08141,NAVÀS
2022,179,08142,NOU DE BERGUEDÀ, LA
2021,176,08142,NOU DE BERGUEDÀ, LA
2020,162,08142,NOU DE BERGUEDÀ, LA
2022,3728,08143,ÒRDENA
2021,3681,08143,ÒRDENA
2020,3668,08143,ÒRDENA
2022,3884,08145,OLÈRDOLA
2021,3847,08145,OLÈRDOLA
2020,3768,08145,OLÈRDOLA
2022,2016,08146,OLESA DE BONESVALLS
2021,1923,08146,OLESA DE BONESVALLS
2020,1840,08146,OLESA DE BONESVALLS
2022,24272,08147,OLESA DE MONTSERRAT
2021,24132,08147,OLESA DE MONTSERRAT
2020,24144,08147,OLESA DE MONTSERRAT
2022,4339,08148,OLIVELLA
2021,4127,08148,OLIVELLA
2020,3935,08148,OLIVELLA
2022,1206,08149,OLOST
2021,1190,08149,OLOST
2020,1202,08149,OLOST
2022,876,08144,OLVAN
2021,874,08144,OLVAN
2020,858,08144,OLVAN
2022,347,08150,ORÍS
2021,339,08150,ORÍS
2020,322,08150,ORÍS
2022,573,08151,ORISTÀ
2021,547,08151,ORISTÀ
2020,549,08151,ORISTÀ
2022,159,08152,ORPÍ
2021,154,08152,ORPÍ
2020,151,08152,ORPÍ
2022,793,08153,ÒRRIUS
2021,779,08153,ÒRRIUS
2020,758,08153,ÒRRIUS
2022,935,08154,PACS DEL PENEDÈS
2021,915,08154,PACS DEL PENEDÈS
2020,918,08154,PACS DEL PENEDÈS
2022,9661,08155,PALAFOLLS
2021,9646,08155,PALAFOLLS
2020,9613,08155,PALAFOLLS
2022,14911,08156,PALAU-SOLITÀ I PLEGAMANS
2021,14917,08156,PALAU-SOLITÀ I PLEGAMANS
2020,14892,08156,PALAU-SOLITÀ I PLEGAMANS
2022,11593,08157,PALLEJÀ
2021,11636,08157,PALLEJÀ
2020,11622,08157,PALLEJÀ
2022,3026,08905,LA PALMA DE CERVELLÓ
2021,3015,08905,LA PALMA DE CERVELLÓ
2020,2992,08905,LA PALMA DE CERVELLÓ
2022,4274,08158,EL PAPIOL
2021,4232,08158,EL PAPIOL
2020,4172,08158,EL PAPIOLL
2022,18889,08159,PARETS DEL VALLÈS
2021,18907,08159,PARETS DEL VALLÈS
2020,19071,08159,PARETS DEL VALLÈS
2022,418,08160,PERAFITA
2021,412,08160,PERAFITA
2020,405,08160,PERAFITA
2022,16787,08161,PIERA
2021,16411,08161,PIERA
2020,16134,08161,PIERA
2022,28083,08163,PINEDA DE MAR
2021,27974,08163,PINEDA DE MAR
2020,27984,08163,PINEDA DE MAR
2022,1335,08164,PLA DEL PENEDÈS, EL
2021,1306,08164,PLA DEL PENEDÈS, EL
2020,1275,08164,PLA DEL PENEDÈS, EL
2022,2275,08165,POBLA DE CLARAMUNT, LA
2021,2207,08165,POBLA DE CLARAMUNT, LA
2020,2185,08165,POBLA DE CLARAMUNT, LA
2022,1079,08166,POBLA DE LILLET, LA
2021,1063,08166,POBLA DE LILLET, LA
2020,1093,08166,POBLA DE LILLET, LA
2022,8451,08167,POLINYÀ
2021,8494,08167,POLINYÀ
2020,8504,08167,POLINYÀ
2022,4024,08182,PONT DE VILOMARA I ROCAFORT, EL
2021,4016,08182,PONT DE VILOMARA I ROCAFORT, EL
2020,3907,08182,PONT DE VILOMARA I ROCAFORT, EL
2022,507,08168,PONTONS
2021,523,08168,PONTONS
2020,528,08168,PONTONS
2022,65030,08169,EL PRAT DE LLOBREGAT
2021,65532,08169,EL PRAT DE LLOBREGAT
2020,65385,08169,EL PRAT DE LLOBREGAT
2022,2627,08171,PRATS DE LLUÇANÈS
2021,2634,08171,PRATS DE LLUÇANÈS
2020,2604,08171,PRATS DE LLUÇANÈS
2022,554,08170,PRATS DE REI, ELS
2021,551,08170,PRATS DE REI, ELS
2020,537,08170,PRATS DE REI, ELS
